id,learner_userid,course_cat_id,course_id,module_id,activity_id,active,type,timecreated,timemodified
233,29598,17,16,0,0,1,learning,"2022-05-05 23:55:17","2022-05-05 23:55:17"
234,29624,17,16,0,0,1,learning,"2022-05-05 23:55:22","2022-05-05 23:55:22"
235,29596,17,16,0,0,1,learning,"2022-05-05 23:55:37","2022-05-05 23:55:37"
236,29598,17,16,0,0,1,learning,"2022-05-05 23:55:38","2022-05-05 23:55:38"
237,29596,17,16,0,0,1,learning,"2022-05-05 23:55:42","2022-05-05 23:55:42"
238,29596,17,16,0,0,1,learning,"2022-05-05 23:56:33","2022-05-05 23:56:33"
239,29596,17,16,0,0,1,learning,"2022-05-05 23:56:33","2022-05-05 23:56:33"
240,29598,17,17,0,0,1,learning,"2022-05-05 23:56:33","2022-05-05 23:56:33"
241,29598,17,16,0,0,1,learning,"2022-05-05 23:56:49","2022-05-05 23:56:49"
242,29630,17,16,0,0,1,learning,"2022-05-05 23:56:52","2022-05-05 23:56:52"
243,29596,17,16,0,0,1,learning,"2022-05-05 23:56:54","2022-05-05 23:56:54"
244,29579,17,16,0,0,1,learning,"2022-05-05 23:56:58","2022-05-05 23:56:58"
245,29596,17,16,0,0,1,learning,"2022-05-05 23:57:33","2022-05-05 23:57:33"
246,29579,17,16,0,0,1,learning,"2022-05-05 23:57:38","2022-05-05 23:57:38"
247,29598,17,16,0,0,1,learning,"2022-05-05 23:58:16","2022-05-05 23:58:16"
248,29598,17,16,0,0,1,learning,"2022-05-05 23:58:29","2022-05-05 23:58:29"
249,29596,17,16,0,0,1,learning,"2022-05-05 23:58:36","2022-05-05 23:58:36"
250,29598,17,16,0,0,1,learning,"2022-05-05 23:59:05","2022-05-05 23:59:05"
251,29598,17,16,0,0,1,learning,"2022-05-05 23:59:19","2022-05-05 23:59:19"
252,29596,17,16,0,0,1,learning,"2022-05-05 23:59:27","2022-05-05 23:59:27"
253,29633,17,17,0,0,1,learning,"2022-05-05 23:59:32","2022-05-05 23:59:32"
254,29596,17,16,0,0,1,learning,"2022-05-05 23:59:41","2022-05-05 23:59:41"
255,64,17,16,0,0,1,learning,"2022-05-05 23:59:57","2022-05-05 23:59:57"
256,29596,17,16,0,0,1,learning,"2022-05-06 00:00:11","2022-05-06 00:00:11"
257,64,17,16,0,0,1,learning,"2022-05-06 00:00:22","2022-05-06 00:00:22"
258,29596,17,16,0,0,1,learning,"2022-05-06 00:01:30","2022-05-06 00:01:30"
259,29596,17,16,0,0,1,learning,"2022-05-06 00:01:42","2022-05-06 00:01:42"
260,29596,17,16,0,0,1,learning,"2022-05-06 00:02:01","2022-05-06 00:02:01"
261,29609,17,16,0,0,1,learning,"2022-05-06 00:02:17","2022-05-06 00:02:17"
262,29596,17,16,0,0,1,learning,"2022-05-06 00:02:42","2022-05-06 00:02:42"
263,29602,17,16,0,0,1,learning,"2022-05-06 00:02:43","2022-05-06 00:02:43"
264,29576,17,16,0,0,1,learning,"2022-05-06 00:03:37","2022-05-06 00:03:37"
265,29592,17,16,0,0,1,learning,"2022-05-06 00:04:52","2022-05-06 00:04:52"
266,29592,17,16,0,0,1,learning,"2022-05-06 00:04:52","2022-05-06 00:04:52"
267,29576,17,16,0,0,1,learning,"2022-05-06 00:05:13","2022-05-06 00:05:13"
268,29596,17,16,0,0,1,learning,"2022-05-06 00:05:30","2022-05-06 00:05:30"
269,29596,17,16,0,0,1,learning,"2022-05-06 00:05:30","2022-05-06 00:05:30"
270,29580,17,16,0,0,1,learning,"2022-05-06 00:06:00","2022-05-06 00:06:00"
271,29580,17,16,0,0,1,learning,"2022-05-06 00:06:01","2022-05-06 00:06:01"
272,29546,17,16,0,0,1,learning,"2022-05-06 00:06:21","2022-05-06 00:06:21"
273,29596,17,16,0,0,1,learning,"2022-05-06 00:08:18","2022-05-06 00:08:18"
274,29596,17,16,0,0,1,learning,"2022-05-06 00:08:59","2022-05-06 00:08:59"
275,29596,17,16,0,0,1,learning,"2022-05-06 00:09:38","2022-05-06 00:09:38"
276,29584,17,16,0,0,1,learning,"2022-05-06 00:09:46","2022-05-06 00:09:46"
277,29584,17,16,0,0,1,learning,"2022-05-06 00:09:46","2022-05-06 00:09:46"
278,29596,17,16,0,0,1,learning,"2022-05-06 00:10:01","2022-05-06 00:10:01"
279,29576,17,16,0,0,1,learning,"2022-05-06 00:10:37","2022-05-06 00:10:37"
280,29596,17,16,0,0,1,learning,"2022-05-06 00:10:39","2022-05-06 00:10:39"
281,29596,17,16,0,0,1,learning,"2022-05-06 00:10:59","2022-05-06 00:10:59"
282,29584,17,16,0,0,1,learning,"2022-05-06 00:11:43","2022-05-06 00:11:43"
283,29577,17,16,0,0,1,learning,"2022-05-06 00:16:58","2022-05-06 00:16:58"
284,29577,17,16,0,0,1,learning,"2022-05-06 00:16:58","2022-05-06 00:16:58"
285,29577,17,16,0,0,1,learning,"2022-05-06 00:17:07","2022-05-06 00:17:07"
286,29577,17,16,0,0,1,learning,"2022-05-06 00:18:27","2022-05-06 00:18:27"
287,29577,17,16,0,0,1,learning,"2022-05-06 00:18:27","2022-05-06 00:18:27"
288,29577,17,16,0,0,1,learning,"2022-05-06 00:18:29","2022-05-06 00:18:29"
289,29577,17,16,0,0,1,learning,"2022-05-06 00:18:29","2022-05-06 00:18:29"
290,29603,17,16,0,0,1,learning,"2022-05-06 00:19:20","2022-05-06 00:19:20"
291,29603,17,16,0,0,1,learning,"2022-05-06 00:19:20","2022-05-06 00:19:20"
292,29638,17,16,0,0,1,learning,"2022-05-06 00:20:32","2022-05-06 00:20:32"
293,29638,17,16,0,0,1,learning,"2022-05-06 00:21:32","2022-05-06 00:21:32"
294,29638,17,16,0,0,1,learning,"2022-05-06 00:21:32","2022-05-06 00:21:32"
295,29638,17,16,0,0,1,learning,"2022-05-06 00:21:55","2022-05-06 00:21:55"
296,29638,17,16,0,0,1,learning,"2022-05-06 00:21:55","2022-05-06 00:21:55"
297,29638,17,16,0,0,1,learning,"2022-05-06 00:22:12","2022-05-06 00:22:12"
298,29638,17,16,0,0,1,learning,"2022-05-06 00:22:12","2022-05-06 00:22:12"
299,29609,17,16,0,0,1,learning,"2022-05-06 00:26:58","2022-05-06 00:26:58"
300,29609,17,16,0,0,1,learning,"2022-05-06 00:27:22","2022-05-06 00:27:22"
301,29609,17,16,0,0,1,learning,"2022-05-06 00:27:22","2022-05-06 00:27:22"
302,29609,17,16,0,0,1,learning,"2022-05-06 00:27:26","2022-05-06 00:27:26"
303,29638,17,17,0,0,1,learning,"2022-05-06 00:29:17","2022-05-06 00:29:17"
304,29639,17,17,0,0,1,learning,"2022-05-06 00:33:56","2022-05-06 00:33:56"
305,29600,17,16,0,0,1,learning,"2022-05-06 00:38:19","2022-05-06 00:38:19"
306,29600,17,16,0,0,1,learning,"2022-05-06 00:38:19","2022-05-06 00:38:19"
